interval_start_est,interval_end_est,node,lmp
2016-01-02T12:00:00.0,2016-01-02T13:00:00.0,ILLINOIS.HUB,22.35
2016-01-02T12:00:00.0,2016-01-02T13:00:00.0,INDIANA.HUB,22.45
2016-01-02T12:00:00.0,2016-01-02T13:00:00.0,LOUISIANA.HUB,22.24
2016-01-02T12:00:00.0,2016-01-02T13:00:00.0,MICHIGAN.HUB,22.41
2016-01-02T12:00:00.0,2016-01-02T13:00:00.0,MINN.HUB,20.53
2016-01-02T12:00:00.0,2016-01-02T13:00:00.0,TEXAS.HUB,22.3
2016-01-02T13:00:00.0,2016-01-02T14:00:00.0,ARKANSAS.HUB,21.59
2016-01-02T13:00:00.0,2016-01-02T14:00:00.0,ILLINOIS.HUB,21.49
2016-01-02T13:00:00.0,2016-01-02T14:00:00.0,INDIANA.HUB,21.89
2016-01-02T13:00:00.0,2016-01-02T14:00:00.0,LOUISIANA.HUB,20.98
2016-01-02T13:00:00.0,2016-01-02T14:00:00.0,MICHIGAN.HUB,21.88
2016-01-02T13:00:00.0,2016-01-02T14:00:00.0,MINN.HUB,19.96
2016-01-02T13:00:00.0,2016-01-02T14:00:00.0,TEXAS.HUB,21.15
2016-01-02T14:00:00.0,2016-01-02T15:00:00.0,ARKANSAS.HUB,20.56
2016-01-02T14:00:00.0,2016-01-02T15:00:00.0,ILLINOIS.HUB,20.62
2016-01-02T14:00:00.0,2016-01-02T15:00:00.0,INDIANA.HUB,21.55
2016-01-02T14:00:00.0,2016-01-02T15:00:00.0,LOUISIANA.HUB,21.28
2016-01-02T14:00:00.0,2016-01-02T15:00:00.0,MICHIGAN.HUB,21.84
2016-01-02T14:00:00.0,2016-01-02T15:00:00.0,MINN.HUB,19.63
2016-01-02T14:00:00.0,2016-01-02T15:00:00.0,TEXAS.HUB,20.71
2016-01-02T15:00:00.0,2016-01-02T16:00:00.0,ARKANSAS.HUB,19.95
2016-01-02T15:00:00.0,2016-01-02T16:00:00.0,ILLINOIS.HUB,20.54
2016-01-02T15:00:00.0,2016-01-02T16:00:00.0,INDIANA.HUB,20.98
