interval_start_est,interval_end_est,node,lmp
2023-02-21T00:00:00.0,2023-02-21T01:00:00.0,NSP.PVALEY.WND,3.87
2023-02-22T00:00:00.0,2023-02-22T01:00:00.0,GRE.ALTW,-3.07
2023-02-22T00:00:00.0,2023-02-22T01:00:00.0,MINN.HUB,14.88
2023-02-22T00:00:00.0,2023-02-22T01:00:00.0,NSP.NOBLES.WND,-26.68
2023-02-22T00:00:00.0,2023-02-22T01:00:00.0,NSP.PVALEY.WND,13.78
2023-02-23T00:00:00.0,2023-02-23T01:00:00.0,GRE.ALTW,7.13
2023-02-23T00:00:00.0,2023-02-23T01:00:00.0,MINN.HUB,16.38
2023-02-23T00:00:00.0,2023-02-23T01:00:00.0,NSP.NOBLES.WND,-28.71
2023-02-23T00:00:00.0,2023-02-23T01:00:00.0,NSP.PVALEY.WND,19.34
2023-02-24T00:00:00.0,2023-02-24T01:00:00.0,GRE.ALTW,25.95
2023-02-24T00:00:00.0,2023-02-24T01:00:00.0,MINN.HUB,27.86
2023-02-24T00:00:00.0,2023-02-24T01:00:00.0,NSP.NOBLES.WND,24.86
2023-02-24T00:00:00.0,2023-02-24T01:00:00.0,NSP.PVALEY.WND,28.27
2023-02-25T00:00:00.0,2023-02-25T01:00:00.0,GRE.ALTW,30.31
2023-02-25T00:00:00.0,2023-02-25T01:00:00.0,MINN.HUB,32.13
2023-02-25T00:00:00.0,2023-02-25T01:00:00.0,NSP.NOBLES.WND,0.0
2023-02-25T00:00:00.0,2023-02-25T01:00:00.0,NSP.PVALEY.WND,34.86
2023-02-26T00:00:00.0,2023-02-26T01:00:00.0,GRE.ALTW,19.86
2023-02-26T00:00:00.0,2023-02-26T01:00:00.0,MINN.HUB,22.19
2023-02-26T00:00:00.0,2023-02-26T01:00:00.0,NSP.NOBLES.WND,19.02
2023-02-26T00:00:00.0,2023-02-26T01:00:00.0,NSP.PVALEY.WND,21.79
2023-02-27T00:00:00.0,2023-02-27T01:00:00.0,GRE.ALTW,3.62
2023-02-27T00:00:00.0,2023-02-27T01:00:00.0,MINN.HUB,10.79
2023-02-27T00:00:00.0,2023-02-27T01:00:00.0,NSP.NOBLES.WND,-5.54
2023-02-27T00:00:00.0,2023-02-27T01:00:00.0,NSP.PVALEY.WND,12.15
2023-02-28T00:00:00.0,2023-02-28T01:00:00.0,GRE.ALTW,17.86
2023-02-28T00:00:00.0,2023-02-28T01:00:00.0,MINN.HUB,18.62
2023-02-28T00:00:00.0,2023-02-28T01:00:00.0,NSP.NOBLES.WND,0.0
2023-02-28T00:00:00.0,2023-02-28T01:00:00.0,NSP.PVALEY.WND,17.76
2023-03-01T00:00:00.0,2023-03-01T01:00:00.0,GRE.ALTW,14.21
2023-03-01T00:00:00.0,2023-03-01T01:00:00.0,MINN.HUB,19.07
2023-03-01T00:00:00.0,2023-03-01T01:00:00.0,NSP.NOBLES.WND,-32.31
2023-03-01T00:00:00.0,2023-03-01T01:00:00.0,NSP.PVALEY.WND,18.62
2023-03-02T00:00:00.0,2023-03-02T01:00:00.0,GRE.ALTW,14.3
2023-03-02T00:00:00.0,2023-03-02T01:00:00.0,MINN.HUB,20.31
2023-03-02T00:00:00.0,2023-03-02T01:00:00.0,NSP.NOBLES.WND,13.82
2023-03-02T00:00:00.0,2023-03-02T01:00:00.0,NSP.PVALEY.WND,-0.96
2023-03-03T00:00:00.0,2023-03-03T01:00:00.0,GRE.ALTW,15.43
2023-03-03T00:00:00.0,2023-03-03T01:00:00.0,MINN.HUB,18.61
2023-03-03T00:00:00.0,2023-03-03T01:00:00.0,NSP.NOBLES.WND,-1.56
2023-03-03T00:00:00.0,2023-03-03T01:00:00.0,NSP.PVALEY.WND,18.83
2023-03-04T00:00:00.0,2023-03-04T01:00:00.0,GRE.ALTW,21.81
2023-03-04T00:00:00.0,2023-03-04T01:00:00.0,MINN.HUB,23.54
2023-03-04T00:00:00.0,2023-03-04T01:00:00.0,NSP.NOBLES.WND,11.93
2023-03-04T00:00:00.0,2023-03-04T01:00:00.0,NSP.PVALEY.WND,22.59
2023-03-05T00:00:00.0,2023-03-05T01:00:00.0,GRE.ALTW,27.79
2023-03-05T00:00:00.0,2023-03-05T01:00:00.0,MINN.HUB,29.73
2023-03-05T00:00:00.0,2023-03-05T01:00:00.0,NSP.NOBLES.WND,26.83
2023-03-05T00:00:00.0,2023-03-05T01:00:00.0,NSP.PVALEY.WND,28.93
2023-03-06T00:00:00.0,2023-03-06T01:00:00.0,GRE.ALTW,19.35
2023-03-06T00:00:00.0,2023-03-06T01:00:00.0,MINN.HUB,19.51
2023-03-06T00:00:00.0,2023-03-06T01:00:00.0,NSP.NOBLES.WND,18.77
2023-03-06T00:00:00.0,2023-03-06T01:00:00.0,NSP.PVALEY.WND,18.74
2023-03-07T00:00:00.0,2023-03-07T01:00:00.0,GRE.ALTW,17.96
2023-03-07T00:00:00.0,2023-03-07T01:00:00.0,MINN.HUB,20.74
2023-03-07T00:00:00.0,2023-03-07T01:00:00.0,NSP.NOBLES.WND,0.35
2023-03-07T00:00:00.0,2023-03-07T01:00:00.0,NSP.PVALEY.WND,18.95
